# CREATED_DATE: 2023-02-01T18:00:43.822Z
# MODIFIED_DATE: 2024-02-14T10:03:44.841Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC2708:[PWL2002]STR; (08:56:12.50, -03:17:58.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023bee
# RA: 134.0484380100887
# DEC: -3.3255440014668474
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-02-01T17:59:54.816Z
# REDSHIFT: 0.006698
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-01-31T09:10:17Z
# NON_DETECT_LIMIT: 17.71
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.jpeg
# POSTAGE_STAMP_REF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.jpeg
# POSTAGE_STAMP_DIFF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.fits
# POSTAGE_STAMP_REF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023bee
# REAL_BOGUS_SCORE: 0.0943543
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 21, 22, 29, 30, 32, 47, 68, 90, 100]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59976.164  Unknown  12449.732  458.665  17.262  0.040  None  Unknown  Unknown  None
OBS:      59977.001  Unknown  19824.398  547.768  16.757  0.030  None  Unknown  Unknown  None
OBS:      59947.187  orange-ATLAS  -0.220  0.416  nan  -2.056  None  ATLAS  HKO  None
OBS:      59951.225  orange-ATLAS  0.728  1.611  18.437  5.000  None  ATLAS  HKO  None
OBS:      59955.296  orange-ATLAS  0.427  0.395  19.783  5.000  None  ATLAS  HKO  None
OBS:      59956.600  orange-ATLAS  0.044  0.318  20.301  5.000  None  ATLAS  HKO  None
OBS:      59956.610  orange-ATLAS  83.330  394.233  22.698  4.731  None  ATLAS  HKO  None
OBS:      59957.043  orange-ATLAS  -0.143  0.333  nan  -2.534  None  ATLAS  HKO  None
OBS:      59959.219  orange-ATLAS  -0.147  0.221  nan  -1.626  None  ATLAS  HKO  None
OBS:      59963.239  orange-ATLAS  0.139  0.209  20.588  5.000  None  ATLAS  HKO  None
OBS:      59964.050  orange-ATLAS  1.743  1.598  18.262  5.000  None  ATLAS  HKO  Bad
OBS:      59964.511  orange-ATLAS  -0.207  0.268  nan  -1.408  None  ATLAS  HKO  None
OBS:      59964.922  cyan-ATLAS  -0.220  0.154  nan  -0.758  None  ATLAS  HKO  None
OBS:      59968.509  orange-ATLAS  -278.227  322.744  nan  -1.259  None  ATLAS  HKO  None
OBS:      59968.523  orange-ATLAS  0.008  0.202  20.827  5.000  None  ATLAS  HKO  None
OBS:      59968.989  cyan-ATLAS  -0.343  0.191  nan  -0.606  None  ATLAS  HKO  None
OBS:      59969.027  cyan-ATLAS  -0.077  0.217  nan  -3.066  None  ATLAS  HKO  None
OBS:      59971.238  orange-ATLAS  0.326  0.164  20.517  5.000  None  ATLAS  HKO  None
OBS:      59975.171  orange-ATLAS  -0.108  0.258  nan  -2.601  None  ATLAS  HKO  None
OBS:      59976.998  orange-ATLAS  25.270  0.690  16.793  0.030  None  ATLAS  HKO  Bad
OBS:      59977.018  orange-ATLAS  25.968  0.399  16.764  0.017  None  ATLAS  HKO  None
OBS:      59994.187  cyan-ATLAS  737.295  1.027  13.131  0.002  None  ATLAS  HKO  Bad
